page,line,front,explanation
2,1,/92,
2,2,In the name of Allah the most beneficent and merciful,
2,3,Remember !,
2,4,"Vocabulary can be easily remembered by revising them, and frequent use of them!",
2,5,"There are two types of meaning one is formal and another is informal, formal means a literal",
2,6,meaning and informal means a same word but meaning changes with context. Irrespective of,
2,7,"formal and informal, In this collection meanings has been written which perfect matches to the",
2,8,"word. In this Vocabulary some meanings has written in Urdu only, and some in both Urdu and",
2,9,"English.This collection of words is referenced from national English news channels, Indian",
2,10,"reality shows, and some of them from other sources.",
2,11,If you success to remember all of this you can easily understand most common English used,
2,12,in daily life. If you find any mistake please tell to me. Thank you!,
2,13,This dictionary Meanings has been written with the help of oxford pocket and pc dictionaries,
2,14,in English and from mahi dictionary in Urdu (a raza team application).All prays for Allah,
2,15,"only, May he bless us! Thank you. Written in the year of 2013-2014",
2,16,Imtiyaz.00786@gmail.com,
2,17,Contact: +91 8125919413,
2,18,Imtiyaz Ali,
3,1,/92,
3,2,To find any word from Dictionary press Ctrl + F in MS Word,
3,3,Abandon,to leave and never return to something or because of danger
3,4,Abashed,"embarrassed , sharminda"
3,5,Abduct,"kidnap = take someone away by force , ighwa karna"
3,6,Abrupt,"sudden and un expected , achanak koi kaam hona"
3,7,Absolute,"complete , perfect , mukammal"
3,8,Abstain,"stop one self, apne aap ko roke rakhna koi kaam karne se"
3,9,Abuse,galian dena
3,10,Access,"the mean or medium, wasta jis ke zariye pahonchte hain"
3,11,Accessories,"Related items , mutaaluqa cheezen"
3,12,Accommodation,"mehman khana , jagha dena"
3,13,Accomplish,"complete kar na , pura karna"
3,14,Accountable,"jawab dena hoga , answerable"
3,15,Accredit,"Give official authorization, koi kaam dena, they accredit me to teach"
3,16,Accreditation,"mamoor karna , koi kaam dena, my accredation is to teach"
3,17,Accumulate,"increase , addition , gather a number or quantity"
3,18,Accurate,"correct in all details , bilkul theek"
3,19,Accuse,ilzam lagana
3,20,Ace,taash ka ekka
3,21,Achieve,"succeed in doing effort , hasil karna , paa’ na"
3,22,Acknowledgement,"accept that something is true, qubool, tasleem karna"
4,1,Acquired,hasil kiya hai
4,2,Adamant,Detrimental
4,3,Addict,"aadi , koi kaam ki aadat lagjana"
4,4,Adequate,"sufficient , enough"
4,5,Adjacent,"Milahoa ,like adjacent side , milahoa hissa"
4,6,Adjacent,Nearest
4,7,Admirable,"sarah’ne k qabil , deserving respect and approval"
4,8,Admire,"sarah’na , respect karna , izzat karna"
4,9,Admit,"confess to be true ,tasleem karna , manna , shareek karna , like admission"
4,10,Adore,"love , chahana , pasand karna , I adore of ice cream"
4,11,Affixation,chipkana
4,12,Afraid,"fear , dara hua"
4,13,Alas,"an expression of grief, hai hai , saqt afsoos , aag lage"
4,14,Alias,"Also known as , urf , laqab"
4,15,Alike,"same , its exactly alike, ye bilkul ek hi jaisa hai"
4,16,Allege,"izhar , ilzaam dena"
4,17,Alleged,"stated, Express in words , izhar"
4,18,Alliance,"like school , madarsa , jamia"
4,19,Allowance,wazifa mahana
4,20,Almighty,"allah qadire mutlaq , har cheez par qadir"
4,21,Although,"inspite of that , iske Bawajood"
4,22,Ambience,mahooli mizaj
4,23,Amicable,dostana
